"[Source: Finnish]","[Source: English]","[Target: Vietnamese]"
"Ääni pätkii","The voice is lagging (as in a Zoom meetig)","Giọng bị đứt"
"Tämä ei tapahdu itsestään","This does not happen by itself","Điều này không xảy ra một cách tự nhiên"
"Eroavaisuuksia riippuen datasta","Differences depending on the data","Sự khác biệt phụ thuộc vào dữ liệu"
"Joudun loikkaamaan seuraaviin","I have to jump to the next ones (meetings)","Tôi phải chuyển sang cuộc họp tiếp theo"
"Joudun olemaan tänään pois töistä","I will need to be away from work today","Tôi cần nghỉ làm việc hôm nay"
"Joudun tässä vaiheessa hyppäämään pois","I need to hop off now","Tôi cần rời đi ngay bây giờ"
"Kiitti. Mulle riitti","Thanks. Enough (could be sarcastic)","Cảm ơn. đủ rồi (có thể hơi mỉa mai)"
"Nostetaan nyt kissa pöydälle","Let's address this problem now","Hãy giải quyết vấn đề này ngay bây giờ"
"Kuinka välttämätöntä..?","How necessary..?","Cần thiết đến mức nào?"
"Kuka tahansa saa tehdä <jotain>","Whoever/anyone can do <something>","Bất kỳ ai cũng có thể làm <cái gì đó>"
"Kuulolla, haen kahvia","I'm listening, just going to get coffee","Tôi đang nghe, tôi đi lấy cà phê"
"Pistää kuulokkeet päähän","To put on the headphones","Đeo tai nghe"
"Meillä on tapana tehdä jotain","We have a common way of doing...","Chúng tôi có một cách làm chung"
"Mitä vikaa siinä on?","What is wrong with it?","Có vấn đề gì với nó?"
"Motiivina tälle oli...","The motive for this was...","Động lực cho điều này là..."
"Minun on pakko siirtyä seuraavaan","I have to switch to the next meeting","Tôi phải chuyển sang cuộc họp tiếp theo"
"Hyvä nosto!","Good point!","Ý kiến hay!"
"Nyrkkisääntö on:...","The rule of thumb is:...","Quy tắc chung là:"
"Ollaanko tavattu ennen?","Have we met before?","Chúng ta đã gặp nhau trước đây chưa?"
"Osaatko neuvoa keneen olen yhteydessä seuraavaksi?","Could you tell me whom should I contact next?","Bạn có thể cho tôi biết ai là người tôi nên liên hệ tiếp theo không?"
"Pikaista paranemista/parantumista!","Get well soon!","Chúc bạn mau khỏe!"
"Olet mutella","You are muted","Bạn đang bị tắt tiếng"
"Samaa pohtinut itsekin, mutta en vielä tehnyt lopullista päätöstä","I considered the same, but didn't come up yet with final decision","Tôi cũng đã suy nghĩ về điều đó, nhưng tôi vẫn chưa đưa ra quyết định cuối cùng"
"Se etenee hyvää vauhtia","It progresses quickly","Nó tiến triển rất nhanh"
"Se lupaamani asia","The thing that I promised","Điều mà tôi đã hứa"
"Se maksaa mansikoita","It costs a lot","Nó rất đắt"
"Se on vähän sellasta taidetta","It's a bit of an art","Đó là một phần nghệ thuật"
"Tämä hoitui","It got fixed/taken care of","Nó đã được sửa/giải quyết"
"Tämä toimii kuin junan vessa","This works very in a well/straightforward way","Nó hoạt động rất tốt/hiệu quả"
"Taskiin pitäisi tehdä nämä","It is needed to do these for this task","Cần thực hiện những việc này cho nhiệm vụ này"
"Tulin eilen kipeäksi ja tämä päivä menee levätessä","I got sick yesterday and will rest today","Tôi bị ốm ngày hôm qua và hôm nay tôi sẽ nghỉ ngơi"
"Tulkitsenko nyt oikein, että...?","Do I understand correctly, that...?","Tôi có hiểu đúng không, rằng...?"
"Valtava osa työajasta meni tämän tehtävän kanssa","Big part of the working time was spent on this task","Một phần lớn thời gian làm việc đã dành cho nhiệm vụ này"
"Asia on edelleen pöydällä","This is still being discussed","Vấn đề này vẫn đang được thảo luận"
"Mitä on luvassa?","What's coming up?","Điều gì sẽ xảy ra tiếp theo?"